rating,draft_year,draft_round,draft_peak,height_cm,version_split,p_age,weight_kg,salary_usd,team_Lencoded,position_Lencoded
73,2019,1,13,196.0,2020,120,88.5,3640200.0,16,5
73,2015,0,0,213.0,2020,27,106.6,2505793.0,1,0
73,2019,1,15,202.99999999999997,2020,120,94.8,3285120.0,8,2
73,2019,1,21,202.99999999999997,2020,24,97.5,2478840.0,15,2
73,2013,0,0,206.0,2020,29,107.0,4102564.0,19,2
73,2019,1,25,196.0,2020,120,99.8,2105520.0,25,2
72,2018,1,21,193.0,2020,25,93.0,2429400.0,15,5
72,2017,0,0,193.0,2020,24,89.4,1488231.0,9,6
72,2013,1,11,196.0,2020,29,83.5,2028594.0,22,5
72,2013,0,0,193.0,2020,29,90.7,2487033.0,7,5
72,2018,1,17,193.0,2020,23,93.0,2905800.0,17,5
72,2007,1,22,198.0,2020,35,102.1,2564753.0,14,2
72,2014,0,0,208.0,2020,28,122.5,8156500.0,4,2
72,2014,0,0,183.0,2020,30,77.1,1620564.0,9,5
72,2014,0,0,185.0,2020,29,91.6,7333333.0,8,5
72,2011,0,0,198.0,2020,31,81.6,4767000.0,12,5
72,2018,1,22,200.99999999999997,2020,24,88.9,2332320.0,4,2
72,2017,2,33,198.0,2020,26,93.0,1618520.0,22,2
72,2011,1,8,188.0,2020,29,85.7,15643750.0,8,5
72,2008,1,22,196.0,2020,35,90.7,12759670.0,6,6
72,2016,1,10,213.0,2020,23,98.0,3569643.0,8,3
72,2016,2,38,200.99999999999997,2020,25,82.1,4000000.0,28,5
72,2013,0,0,193.0,2020,29,93.0,4807693.0,13,5
72,2012,2,46,198.0,2020,30,102.1,7250000.0,19,2
72,2013,2,47,185.0,2020,28,77.1,1737145.0,23,5
72,2016,2,50,200.99999999999997,2020,27,104.3,1645357.0,29,2
72,2015,1,14,188.0,2020,26,81.6,346288.0,24,5
72,2018,1,24,191.0,2020,21,82.1,2149560.0,25,5
72,2018,1,16,191.0,2020,21,93.0,3058800.0,23,6
72,2007,0,0,202.99999999999997,2020,35,108.9,2854556.0,15,2
72,2017,1,17,208.0,2020,24,106.1,2961120.0,17,2
72,2015,0,0,202.99999999999997,2020,28,97.5,2391985.0,5,2
72,2019,1,14,193.0,2020,21,98.0,3458400.0,1,5
72,2019,1,22,198.0,2020,22,107.0,2379840.0,1,2
72,2019,2,31,211.0,2020,30,97.5,898310.0,2,0
72,2019,1,12,200.99999999999997,2020,22,102.1,3831840.0,3,2
72,2016,0,0,191.0,2020,26,88.5,3000000.0,4,5
